"Old/New","Ctrl No (010)","Tag","Ind","Heading"
"New","$a no 97083955","100","10","$a Alimonda, Heitor. $t Trio, $m piano, violin, cello","","",""
"Old","$a n  80132488","100","10","$a Ali͡aeva, T. N.","","",""
"New","$a n  80132488","100","1","$a Ali︠a︡eva, T. N.","","",""
"Old","$a n 2003148598","100","1","$a Alkan, Charles-Valentin, $d 1813-1888. $t Trio, $m piano, strings, $n op. 30, $r G minor","","",""
"New","$a n 2003148598","100","1","$a Alkan, Charles-Valentin, $d 1813-1888. $t Trio, $m piano, violin, cello, $n op. 30, $r G minor","","",""
"Old","$a no 99020417","100","1","$a Allen, Thomas, $c bookseller, $d active 1785-1799","","",""
"New","$a no 99020417","100","1","$a Allen, Thomas $c (Bookseller), $d active 1785-1799","","",""
"Old","$a n  85002458","100","10","$a Altukhov, I͡U. P.","","",""
"New","$a n  85002458","100","1","$a Altukhov, I︠U︡. P.","","",""
"Old","$a no2005103953","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m strings, $n no. 1, $r D minor","","",""
"New","$a no2005103953","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m violins (2), viola, cello, $n no. 1, $r D minor","","",""
"Old","$a n  79108047","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m strings, $n no. 2","","",""
"New","$a n  79108047","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m violins (2), viola, cello, $n no. 2","","",""
"Old","$a no 97081630","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m strings, $n no. 3","","",""
"New","$a no 97081630","100","1","$a Alwyn, William, $d 1905-1985. $t Quartets, $m violins (2), viola, cello, $n no. 3","","",""
"Old","$a no 97081629","100","1","$a Alwyn, William, $d 1905-1985. $t Trios, $m strings","","",""
"New","$a no 97081629","100","1","$a Alwyn, William, $d 1905-1985. $t Trios, $m violin, viola, cello","","",""
"Old","$a n  85366528","100","10","$a Alʹtman, I͡A. A. $q (I͡Akov Abramovich)","","",""
"New","$a n  85366528","100","1","$a Alʹtman, I︠A︡. A. $q (I︠A︡kov Abramovich)","","",""
"Old","$a n  88648123","100","10","$a Ambrose, John W. $q (John William), $d 1931-","","",""
"New","$a n  88648123","100","1","$a Ambrose, John W., $c Jr. $q (John William), $d 1931-2014","","",""
"Old","$a n 2007065045","100","0","$a Amenhotep, $c son of Hapu, $d approximately 1440 B.C.-approximately 1360 B.C.","","",""
