"Row No","Bib No","Tag","Ind","Field Data"
"139","013865219","490","1","$a Suomalaisen Kirjallisuuden Seuran toimituksia, $x 0355-1768 ; $v 1387","","",""
"140","014218405","490","1","$a Texte und Kommentare, $x 0563-3087 ; $v Band 48","","",""
"141","014229777","490","1","$a Texte und Untersuchungen zur Germanistik und Skandinavistik, $x 0721-4286 ; $v Band 65","","",""
"142","014250196","490","1","$a Textes littéraires français, $x 0257-4063 ; $v 628","","",""
"143","014225180","490","1","$a Thematicon, $x 1610-4277 ; $v Band 21","","",""
"144","014240666","490","1","$a Travaux d'humanisme et Renaissance, $x 0082-6081 ; $v no 532","","",""
"145","014225102","490","1","$a Turcologica, $x 0177-4743 ; $v Band 101","","",""
"146","014201780","490","1","$a Tübinger Beiträge zur Linguistik, $x 0564-7959 ; $v 538","","",""
"147","014201781","490","1","$a Tübinger Beiträge zur Linguistik, $x 0564-7959 ; $v 545","","",""
"148","014201774","490","1","$a Tübinger Beiträge zur Linguistik, $x 0564-7959 ; $v 547","","",""
"149","013512938","490","1","$a Untersuchungen zur antiken Literatur und Geschichte, $x 1862-1112 ; $v Band 109","","",""
"150","014218416","490","1","$a Veröffentlichungen der Historischen Kommission für Niedersachsen und Bremen, $x 0933-3320 ; $v 276","","",""
"151","014203997","490","1","$a Veröffentlichungen der Pfälzischen Gesellschaft zur Förderung der Wissenschaften in Speyer am Rhein, $x 0480-2357 ; $v Band 112","","",""
"152","014166355","490","1","$a Veröffentlichungen des Deutschen Polen-Instituts Darmstadt, $x 0945-5515 ; $v Band 32","","",""
"153","014166361","490","1","$a Veröffentlichungen des Deutschen Polen-Instituts Darmstadt, $x 0945-5515 ; $v Band 33","","",""
"154","014201765","490","1","$a Veröffentlichungen des Instituts für Europäische Geschichte Mainz, $x 0537-7919 ; $v Band 234","","",""
"155","014235681","490","1","$a Veröffentlichungen des Ostasien-Instituts der Ruhr-Universität Bochum, $x 0340-6687 ; $v Band 65","","",""
"156","014169768","490","1","$a Veröffentlichungen des Steiermärkischen Landesarchives, $x 0434-3891 ; $v Band 38","","",""
"157","014235676","490","1","$a Westostpassagen, $x 1860-4692 ; $v Band 21","","",""
"158","014235671","490","1","$a Zeitgeschichte im Fokus, $x 2194-4318 ; $v Bd. 2","","",""
"159","014261583","490","1","$a Zur modernen Deutung der aristotelischen Logik, $x 0176-0386 ; $v Band XI","","",""
"160","010883164","651","0","$a New York (N.Y.) $d Newspapers.","","",""
